Compound_Name_CAS,SMILES_Structure,DPRA_Depletion_%,KeratinoSens_EC150_uM,Docking_DeltaG_kcal,Bayesian_Probability_%,Regulatory_Classification
Benchmark_Compound_0953 (CAS 200953-3),O=CC=CC1=CC=CC=C1,24.9,527.4,-7.23,25.4,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0954 (CAS 200954-4),O=CC=CC1=CC=CC=C1,87.7,874.9,-3.72,39.5,Non-Sensitizer
Benchmark_Compound_0955 (CAS 200955-5),O=CC=CC1=CC=CC=C1,45.6,217.4,-3.4,41.7,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0956 (CAS 200956-6),O=CC=CC1=CC=CC=C1,42.6,671.6,-6.19,96.8,Non-Sensitizer
Benchmark_Compound_0957 (CAS 200957-7),O=CC=CC1=CC=CC=C1,54.1,943.1,-8.22,94.7,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0958 (CAS 200958-8),O=CC=CC1=CC=CC=C1,14.0,738.5,-8.28,80.2,Non-Sensitizer
Benchmark_Compound_0959 (CAS 200959-9),O=CC=CC1=CC=CC=C1,24.1,608.7,-5.34,27.7,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0960 (CAS 200960-0),O=CC=CC1=CC=CC=C1,72.7,1490.8,-6.34,11.4,Non-Sensitizer
Benchmark_Compound_0961 (CAS 200961-1),O=CC=CC1=CC=CC=C1,17.0,1321.7,-8.34,34.8,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0962 (CAS 200962-2),O=CC=CC1=CC=CC=C1,61.3,938.9,-5.29,30.1,Non-Sensitizer
Benchmark_Compound_0963 (CAS 200963-3),O=CC=CC1=CC=CC=C1,30.9,858.4,-8.44,52.6,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0964 (CAS 200964-4),O=CC=CC1=CC=CC=C1,43.1,934.8,-4.17,78.1,Non-Sensitizer
Benchmark_Compound_0965 (CAS 200965-5),O=CC=CC1=CC=CC=C1,34.5,310.0,-6.81,85.7,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0966 (CAS 200966-6),O=CC=CC1=CC=CC=C1,40.2,598.8,-8.28,84.4,Non-Sensitizer
Benchmark_Compound_0967 (CAS 200967-7),O=CC=CC1=CC=CC=C1,71.1,68.8,-5.26,38.8,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0968 (CAS 200968-8),O=CC=CC1=CC=CC=C1,35.3,718.6,-6.31,69.6,Non-Sensitizer
Benchmark_Compound_0969 (CAS 200969-9),O=CC=CC1=CC=CC=C1,58.1,819.1,-3.14,34.4,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0970 (CAS 200970-0),O=CC=CC1=CC=CC=C1,50.5,349.3,-5.51,10.7,Non-Sensitizer
Benchmark_Compound_0971 (CAS 200971-1),O=CC=CC1=CC=CC=C1,66.4,1446.4,-6.99,70.9,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0972 (CAS 200972-2),O=CC=CC1=CC=CC=C1,89.6,1365.1,-4.6,5.9,Non-Sensitizer
Benchmark_Compound_0973 (CAS 200973-3),O=CC=CC1=CC=CC=C1,72.3,1086.0,-7.01,43.5,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0974 (CAS 200974-4),O=CC=CC1=CC=CC=C1,28.3,804.7,-3.53,36.0,Non-Sensitizer
Benchmark_Compound_0975 (CAS 200975-5),O=CC=CC1=CC=CC=C1,12.7,1306.3,-6.44,70.2,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0976 (CAS 200976-6),O=CC=CC1=CC=CC=C1,32.3,204.7,-5.48,77.0,Non-Sensitizer
Benchmark_Compound_0977 (CAS 200977-7),O=CC=CC1=CC=CC=C1,60.6,1187.9,-8.22,33.6,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0978 (CAS 200978-8),O=CC=CC1=CC=CC=C1,14.4,196.0,-6.16,81.3,Non-Sensitizer
Benchmark_Compound_0979 (CAS 200979-9),O=CC=CC1=CC=CC=C1,52.2,1193.4,-3.92,32.6,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0980 (CAS 200980-0),O=CC=CC1=CC=CC=C1,60.7,420.9,-4.07,47.0,Non-Sensitizer
Benchmark_Compound_0981 (CAS 200981-1),O=CC=CC1=CC=CC=C1,38.4,1316.9,-7.27,73.3,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0982 (CAS 200982-2),O=CC=CC1=CC=CC=C1,75.5,1416.6,-7.26,70.1,Non-Sensitizer
Benchmark_Compound_0983 (CAS 200983-3),O=CC=CC1=CC=CC=C1,19.1,231.7,-4.0,97.8,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0984 (CAS 200984-4),O=CC=CC1=CC=CC=C1,16.4,699.4,-3.38,26.2,Non-Sensitizer
Benchmark_Compound_0985 (CAS 200985-5),O=CC=CC1=CC=CC=C1,71.9,1471.7,-7.98,67.3,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0986 (CAS 200986-6),O=CC=CC1=CC=CC=C1,52.1,730.3,-6.02,62.3,Non-Sensitizer
Benchmark_Compound_0987 (CAS 200987-7),O=CC=CC1=CC=CC=C1,68.5,1296.7,-6.64,91.0,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0988 (CAS 200988-8),O=CC=CC1=CC=CC=C1,47.0,887.2,-3.71,19.7,Non-Sensitizer
Benchmark_Compound_0989 (CAS 200989-9),O=CC=CC1=CC=CC=C1,30.9,569.2,-8.04,75.7,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0990 (CAS 200990-0),O=CC=CC1=CC=CC=C1,79.6,435.8,-7.34,58.4,Non-Sensitizer
Benchmark_Compound_0991 (CAS 200991-1),O=CC=CC1=CC=CC=C1,78.0,312.8,-4.36,30.8,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0992 (CAS 200992-2),O=CC=CC1=CC=CC=C1,69.0,1145.1,-8.22,49.6,Non-Sensitizer
Benchmark_Compound_0993 (CAS 200993-3),O=CC=CC1=CC=CC=C1,33.1,585.9,-5.79,36.4,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0994 (CAS 200994-4),O=CC=CC1=CC=CC=C1,60.2,771.8,-6.07,59.5,Non-Sensitizer
Benchmark_Compound_0995 (CAS 200995-5),O=CC=CC1=CC=CC=C1,40.7,743.6,-6.66,88.6,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0996 (CAS 200996-6),O=CC=CC1=CC=CC=C1,17.8,870.1,-6.33,58.5,Non-Sensitizer
Benchmark_Compound_0997 (CAS 200997-7),O=CC=CC1=CC=CC=C1,88.0,1299.7,-5.59,64.4,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0998 (CAS 200998-8),O=CC=CC1=CC=CC=C1,21.6,1471.3,-7.61,53.8,Non-Sensitizer
Benchmark_Compound_0999 (CAS 200999-9),O=CC=CC1=CC=CC=C1,90.8,617.3,-5.35,9.8,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_1000 (CAS 201000-0),O=CC=CC1=CC=CC=C1,47.9,1243.0,-4.07,26.9,Non-Sensitizer
Benchmark_Compound_1001 (CAS 201001-1),O=CC=CC1=CC=CC=C1,25.7,1149.1,-4.32,51.2,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_1002 (CAS 201002-2),O=CC=CC1=CC=CC=C1,56.1,864.6,-7.65,34.2,Non-Sensitizer
Benchmark_Compound_1003 (CAS 201003-3),O=CC=CC1=CC=CC=C1,84.2,1434.5,-7.68,22.1,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_1004 (CAS 201004-4),O=CC=CC1=CC=CC=C1,72.2,308.7,-7.03,52.4,Non-Sensitizer
Benchmark_Compound_1005 (CAS 201005-5),O=CC=CC1=CC=CC=C1,78.6,172.8,-6.51,35.3,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_1006 (CAS 201006-6),O=CC=CC1=CC=CC=C1,66.0,1282.4,-6.25,29.3,Non-Sensitizer
Benchmark_Compound_1007 (CAS 201007-7),O=CC=CC1=CC=CC=C1,68.8,664.3,-4.76,48.6,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_1008 (CAS 201008-8),O=CC=CC1=CC=CC=C1,82.2,1272.0,-8.19,17.5,Non-Sensitizer
Benchmark_Compound_1009 (CAS 201009-9),O=CC=CC1=CC=CC=C1,31.2,1340.7,-8.31,92.2,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_1010 (CAS 201010-0),O=CC=CC1=CC=CC=C1,51.6,103.1,-6.34,86.6,Non-Sensitizer
Benchmark_Compound_1011 (CAS 201011-1),O=CC=CC1=CC=CC=C1,28.8,1326.4,-4.67,71.5,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_1012 (CAS 201012-2),O=CC=CC1=CC=CC=C1,94.0,678.0,-7.44,15.0,Non-Sensitizer
Benchmark_Compound_1013 (CAS 201013-3),O=CC=CC1=CC=CC=C1,90.2,770.5,-4.97,77.9,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_1014 (CAS 201014-4),O=CC=CC1=CC=CC=C1,13.4,943.6,-7.07,80.9,Non-Sensitizer
Benchmark_Compound_1015 (CAS 201015-5),O=CC=CC1=CC=CC=C1,70.0,1390.3,-3.63,77.2,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_1016 (CAS 201016-6),O=CC=CC1=CC=CC=C1,88.6,38.5,-3.57,15.7,Non-Sensitizer
Benchmark_Compound_1017 (CAS 201017-7),O=CC=CC1=CC=CC=C1,25.3,720.5,-6.86,65.5,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_1018 (CAS 201018-8),O=CC=CC1=CC=CC=C1,58.3,1034.7,-7.24,83.4,Non-Sensitizer
Benchmark_Compound_1019 (CAS 201019-9),O=CC=CC1=CC=CC=C1,87.8,1086.8,-6.24,59.3,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_1020 (CAS 201020-0),O=CC=CC1=CC=CC=C1,12.9,1041.9,-7.18,65.8,Non-Sensitizer
Benchmark_Compound_1021 (CAS 201021-1),O=CC=CC1=CC=CC=C1,69.3,210.3,-4.8,48.1,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_1022 (CAS 201022-2),O=CC=CC1=CC=CC=C1,35.3,456.1,-3.96,54.7,Non-Sensitizer
Benchmark_Compound_1023 (CAS 201023-3),O=CC=CC1=CC=CC=C1,88.6,544.5,-4.8,8.2,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_1024 (CAS 201024-4),O=CC=CC1=CC=CC=C1,92.5,1208.6,-3.97,65.1,Non-Sensitizer
Benchmark_Compound_1025 (CAS 201025-5),O=CC=CC1=CC=CC=C1,90.3,425.4,-6.32,12.7,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_1026 (CAS 201026-6),O=CC=CC1=CC=CC=C1,50.3,324.0,-7.64,45.9,Non-Sensitizer
Benchmark_Compound_1027 (CAS 201027-7),O=CC=CC1=CC=CC=C1,83.3,1436.6,-4.44,32.5,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_1028 (CAS 201028-8),O=CC=CC1=CC=CC=C1,81.8,23.2,-6.52,56.3,Non-Sensitizer
Benchmark_Compound_1029 (CAS 201029-9),O=CC=CC1=CC=CC=C1,37.1,1496.8,-4.81,17.5,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_1030 (CAS 201030-0),O=CC=CC1=CC=CC=C1,80.5,1018.5,-7.01,70.0,Non-Sensitizer
Benchmark_Compound_1031 (CAS 201031-1),O=CC=CC1=CC=CC=C1,13.1,1244.4,-8.05,79.7,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_1032 (CAS 201032-2),O=CC=CC1=CC=CC=C1,60.7,449.0,-3.04,20.4,Non-Sensitizer
Benchmark_Compound_1033 (CAS 201033-3),O=CC=CC1=CC=CC=C1,29.6,31.3,-7.64,14.8,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_1034 (CAS 201034-4),O=CC=CC1=CC=CC=C1,20.2,1109.4,-3.06,18.7,Non-Sensitizer
Benchmark_Compound_1035 (CAS 201035-5),O=CC=CC1=CC=CC=C1,16.5,1252.9,-3.12,87.4,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_1036 (CAS 201036-6),O=CC=CC1=CC=CC=C1,69.2,1113.3,-4.13,54.6,Non-Sensitizer
Benchmark_Compound_1037 (CAS 201037-7),O=CC=CC1=CC=CC=C1,38.9,222.8,-4.87,48.9,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_1038 (CAS 201038-8),O=CC=CC1=CC=CC=C1,71.6,1132.6,-5.32,15.0,Non-Sensitizer
Benchmark_Compound_1039 (CAS 201039-9),O=CC=CC1=CC=CC=C1,15.6,1155.7,-3.74,66.1,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_1040 (CAS 201040-0),O=CC=CC1=CC=CC=C1,36.8,991.2,-6.91,86.6,Non-Sensitizer
Benchmark_Compound_1041 (CAS 201041-1),O=CC=CC1=CC=CC=C1,55.9,1151.5,-5.93,82.8,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_1042 (CAS 201042-2),O=CC=CC1=CC=CC=C1,77.2,1270.4,-5.09,63.8,Non-Sensitizer
Benchmark_Compound_1043 (CAS 201043-3),O=CC=CC1=CC=CC=C1,37.1,924.3,-6.24,12.1,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_1044 (CAS 201044-4),O=CC=CC1=CC=CC=C1,63.2,142.0,-6.15,15.6,Non-Sensitizer
Benchmark_Compound_1045 (CAS 201045-5),O=CC=CC1=CC=CC=C1,85.3,736.6,-6.68,9.6,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_1046 (CAS 201046-6),O=CC=CC1=CC=CC=C1,62.3,125.7,-5.4,29.2,Non-Sensitizer
Benchmark_Compound_1047 (CAS 201047-7),O=CC=CC1=CC=CC=C1,29.8,617.2,-3.82,17.8,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_1048 (CAS 201048-8),O=CC=CC1=CC=CC=C1,12.1,616.6,-7.39,29.4,Non-Sensitizer
Benchmark_Compound_1049 (CAS 201049-9),O=CC=CC1=CC=CC=C1,84.0,108.4,-3.36,41.2,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_1050 (CAS 201050-0),O=CC=CC1=CC=CC=C1,11.8,529.7,-4.71,93.6,Non-Sensitizer
Benchmark_Compound_1051 (CAS 201051-1),O=CC=CC1=CC=CC=C1,84.3,175.4,-3.97,62.4,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_1052 (CAS 201052-2),O=CC=CC1=CC=CC=C1,55.0,1214.3,-5.44,83.5,Non-Sensitizer
Benchmark_Compound_1053 (CAS 201053-3),O=CC=CC1=CC=CC=C1,89.8,1422.1,-4.21,71.8,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_1054 (CAS 201054-4),O=CC=CC1=CC=CC=C1,77.9,117.8,-8.41,15.6,Non-Sensitizer
Benchmark_Compound_1055 (CAS 201055-5),O=CC=CC1=CC=CC=C1,94.8,1433.1,-4.0,74.2,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_1056 (CAS 201056-6),O=CC=CC1=CC=CC=C1,39.8,788.6,-8.28,30.9,Non-Sensitizer
Benchmark_Compound_1057 (CAS 201057-7),O=CC=CC1=CC=CC=C1,75.2,456.4,-3.61,65.1,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_1058 (CAS 201058-8),O=CC=CC1=CC=CC=C1,44.2,124.5,-3.04,37.1,Non-Sensitizer
Benchmark_Compound_1059 (CAS 201059-9),O=CC=CC1=CC=CC=C1,50.8,755.9,-6.88,98.8,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_1060 (CAS 201060-0),O=CC=CC1=CC=CC=C1,63.3,1193.8,-7.34,29.8,Non-Sensitizer
Benchmark_Compound_1061 (CAS 201061-1),O=CC=CC1=CC=CC=C1,84.3,1063.6,-4.29,31.2,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_1062 (CAS 201062-2),O=CC=CC1=CC=CC=C1,93.6,84.8,-7.11,92.5,Non-Sensitizer
Benchmark_Compound_1063 (CAS 201063-3),O=CC=CC1=CC=CC=C1,75.3,118.6,-3.74,7.3,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_1064 (CAS 201064-4),O=CC=CC1=CC=CC=C1,45.5,610.3,-7.93,70.5,Non-Sensitizer
Benchmark_Compound_1065 (CAS 201065-5),O=CC=CC1=CC=CC=C1,45.8,450.0,-7.81,73.2,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_1066 (CAS 201066-6),O=CC=CC1=CC=CC=C1,72.7,356.3,-3.11,83.6,Non-Sensitizer
Benchmark_Compound_1067 (CAS 201067-7),O=CC=CC1=CC=CC=C1,30.3,428.7,-4.79,96.6,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_1068 (CAS 201068-8),O=CC=CC1=CC=CC=C1,19.4,1207.2,-3.84,96.7,Non-Sensitizer
Benchmark_Compound_1069 (CAS 201069-9),O=CC=CC1=CC=CC=C1,40.1,1394.5,-6.72,11.1,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_1070 (CAS 201070-0),O=CC=CC1=CC=CC=C1,34.4,613.6,-4.78,82.3,Non-Sensitizer
Benchmark_Compound_1071 (CAS 201071-1),O=CC=CC1=CC=CC=C1,35.2,1360.1,-5.23,65.8,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_1072 (CAS 201072-2),O=CC=CC1=CC=CC=C1,29.9,489.0,-5.18,65.9,Non-Sensitizer
Benchmark_Compound_1073 (CAS 201073-3),O=CC=CC1=CC=CC=C1,13.6,719.9,-4.75,17.1,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_1074 (CAS 201074-4),O=CC=CC1=CC=CC=C1,11.5,346.8,-5.34,66.1,Non-Sensitizer
Benchmark_Compound_1075 (CAS 201075-5),O=CC=CC1=CC=CC=C1,94.0,964.3,-6.14,97.4,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_1076 (CAS 201076-6),O=CC=CC1=CC=CC=C1,46.4,1468.7,-6.98,90.7,Non-Sensitizer
Benchmark_Compound_1077 (CAS 201077-7),O=CC=CC1=CC=CC=C1,42.7,909.2,-4.27,46.3,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_1078 (CAS 201078-8),O=CC=CC1=CC=CC=C1,67.8,543.1,-7.26,8.8,Non-Sensitizer
Benchmark_Compound_1079 (CAS 201079-9),O=CC=CC1=CC=CC=C1,28.6,975.2,-4.69,39.1,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_1080 (CAS 201080-0),O=CC=CC1=CC=CC=C1,90.7,193.2,-7.22,82.7,Non-Sensitizer
Benchmark_Compound_1081 (CAS 201081-1),O=CC=CC1=CC=CC=C1,76.8,1334.1,-5.06,70.9,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_1082 (CAS 201082-2),O=CC=CC1=CC=CC=C1,17.6,759.6,-4.39,48.2,Non-Sensitizer
Benchmark_Compound_1083 (CAS 201083-3),O=CC=CC1=CC=CC=C1,45.5,679.5,-7.3,10.2,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_1084 (CAS 201084-4),O=CC=CC1=CC=CC=C1,84.7,882.9,-8.17,45.1,Non-Sensitizer
Benchmark_Compound_1085 (CAS 201085-5),O=CC=CC1=CC=CC=C1,90.3,940.9,-7.78,49.1,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_1086 (CAS 201086-6),O=CC=CC1=CC=CC=C1,49.7,116.9,-5.17,92.3,Non-Sensitizer
Benchmark_Compound_1087 (CAS 201087-7),O=CC=CC1=CC=CC=C1,62.1,1027.1,-3.83,65.3,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_1088 (CAS 201088-8),O=CC=CC1=CC=CC=C1,24.2,370.5,-8.25,34.3,Non-Sensitizer
Benchmark_Compound_1089 (CAS 201089-9),O=CC=CC1=CC=CC=C1,94.2,1073.8,-4.46,54.4,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_1090 (CAS 201090-0),O=CC=CC1=CC=CC=C1,29.7,1235.6,-6.62,11.2,Non-Sensitizer
Benchmark_Compound_1091 (CAS 201091-1),O=CC=CC1=CC=CC=C1,90.1,1207.9,-5.87,96.4,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_1092 (CAS 201092-2),O=CC=CC1=CC=CC=C1,65.2,833.2,-3.39,38.8,Non-Sensitizer
Benchmark_Compound_1093 (CAS 201093-3),O=CC=CC1=CC=CC=C1,61.7,785.1,-6.67,49.9,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_1094 (CAS 201094-4),O=CC=CC1=CC=CC=C1,53.6,222.9,-5.94,38.4,Non-Sensitizer
Benchmark_Compound_1095 (CAS 201095-5),O=CC=CC1=CC=CC=C1,29.6,1165.3,-8.42,69.2,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_1096 (CAS 201096-6),O=CC=CC1=CC=CC=C1,25.0,414.4,-8.05,67.2,Non-Sensitizer
Benchmark_Compound_1097 (CAS 201097-7),O=CC=CC1=CC=CC=C1,28.7,750.1,-7.08,72.2,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_1098 (CAS 201098-8),O=CC=CC1=CC=CC=C1,25.8,433.6,-8.35,30.2,Non-Sensitizer
Benchmark_Compound_1099 (CAS 201099-9),O=CC=CC1=CC=CC=C1,76.3,209.4,-5.03,34.7,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_1100 (CAS 201100-0),O=CC=CC1=CC=CC=C1,39.8,948.0,-6.15,16.8,Non-Sensitizer
Benchmark_Compound_1101 (CAS 201101-1),O=CC=CC1=CC=CC=C1,14.9,91.0,-5.49,66.6,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_1102 (CAS 201102-2),O=CC=CC1=CC=CC=C1,92.4,1125.5,-7.54,8.7,Non-Sensitizer
Benchmark_Compound_1103 (CAS 201103-3),O=CC=CC1=CC=CC=C1,85.1,483.2,-6.87,61.2,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_1104 (CAS 201104-4),O=CC=CC1=CC=CC=C1,88.9,10.2,-4.85,86.8,Non-Sensitizer
Benchmark_Compound_1105 (CAS 201105-5),O=CC=CC1=CC=CC=C1,94.6,771.6,-3.19,88.7,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_1106 (CAS 201106-6),O=CC=CC1=CC=CC=C1,24.8,79.8,-8.22,47.2,Non-Sensitizer
Benchmark_Compound_1107 (CAS 201107-7),O=CC=CC1=CC=CC=C1,43.7,421.5,-3.6,48.2,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_1108 (CAS 201108-8),O=CC=CC1=CC=CC=C1,74.5,1063.4,-5.33,12.2,Non-Sensitizer
Benchmark_Compound_1109 (CAS 201109-9),O=CC=CC1=CC=CC=C1,69.2,103.4,-5.4,68.1,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_1110 (CAS 201110-0),O=CC=CC1=CC=CC=C1,23.1,1260.6,-5.75,82.2,Non-Sensitizer
Benchmark_Compound_1111 (CAS 201111-1),O=CC=CC1=CC=CC=C1,79.3,15.7,-8.12,28.0,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_1112 (CAS 201112-2),O=CC=CC1=CC=CC=C1,29.1,377.8,-8.01,44.6,Non-Sensitizer
Benchmark_Compound_1113 (CAS 201113-3),O=CC=CC1=CC=CC=C1,29.0,1113.9,-5.19,83.9,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_1114 (CAS 201114-4),O=CC=CC1=CC=CC=C1,55.6,481.2,-6.62,87.4,Non-Sensitizer
Benchmark_Compound_1115 (CAS 201115-5),O=CC=CC1=CC=CC=C1,60.4,161.8,-3.46,27.9,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_1116 (CAS 201116-6),O=CC=CC1=CC=CC=C1,59.3,546.7,-6.26,56.8,Non-Sensitizer
Benchmark_Compound_1117 (CAS 201117-7),O=CC=CC1=CC=CC=C1,17.8,412.9,-7.71,23.1,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_1118 (CAS 201118-8),O=CC=CC1=CC=CC=C1,84.6,1265.6,-4.57,14.6,Non-Sensitizer
Benchmark_Compound_1119 (CAS 201119-9),O=CC=CC1=CC=CC=C1,32.6,476.9,-6.89,90.6,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_1120 (CAS 201120-0),O=CC=CC1=CC=CC=C1,21.0,1185.5,-5.61,82.1,Non-Sensitizer
Benchmark_Compound_1121 (CAS 201121-1),O=CC=CC1=CC=CC=C1,85.5,1338.9,-4.66,76.4,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_1122 (CAS 201122-2),O=CC=CC1=CC=CC=C1,91.2,656.4,-3.55,9.6,Non-Sensitizer
Benchmark_Compound_1123 (CAS 201123-3),O=CC=CC1=CC=CC=C1,83.3,1365.8,-4.14,84.3,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_1124 (CAS 201124-4),O=CC=CC1=CC=CC=C1,78.8,572.2,-4.78,46.2,Non-Sensitizer
Benchmark_Compound_1125 (CAS 201125-5),O=CC=CC1=CC=CC=C1,65.7,1446.5,-4.76,37.2,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_1126 (CAS 201126-6),O=CC=CC1=CC=CC=C1,56.8,143.0,-3.3,56.4,Non-Sensitizer
Benchmark_Compound_1127 (CAS 201127-7),O=CC=CC1=CC=CC=C1,17.4,1033.7,-6.87,13.6,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_1128 (CAS 201128-8),O=CC=CC1=CC=CC=C1,44.7,745.8,-8.49,76.1,Non-Sensitizer
Benchmark_Compound_1129 (CAS 201129-9),O=CC=CC1=CC=CC=C1,41.7,587.6,-7.0,59.7,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_1130 (CAS 201130-0),O=CC=CC1=CC=CC=C1,32.1,952.7,-7.3,22.5,Non-Sensitizer
Benchmark_Compound_1131 (CAS 201131-1),O=CC=CC1=CC=CC=C1,71.5,1058.7,-4.86,22.7,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_1132 (CAS 201132-2),O=CC=CC1=CC=CC=C1,52.1,16.5,-5.01,22.3,Non-Sensitizer
Benchmark_Compound_1133 (CAS 201133-3),O=CC=CC1=CC=CC=C1,16.9,258.8,-5.24,10.4,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_1134 (CAS 201134-4),O=CC=CC1=CC=CC=C1,28.7,1072.4,-8.41,60.3,Non-Sensitizer
Benchmark_Compound_1135 (CAS 201135-5),O=CC=CC1=CC=CC=C1,68.1,1002.9,-4.49,84.0,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_1136 (CAS 201136-6),O=CC=CC1=CC=CC=C1,16.5,1449.4,-6.72,6.6,Non-Sensitizer
Benchmark_Compound_1137 (CAS 201137-7),O=CC=CC1=CC=CC=C1,82.4,1143.9,-4.84,9.6,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_1138 (CAS 201138-8),O=CC=CC1=CC=CC=C1,52.1,1426.7,-5.44,58.8,Non-Sensitizer
Benchmark_Compound_1139 (CAS 201139-9),O=CC=CC1=CC=CC=C1,50.8,1056.8,-6.61,82.0,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_1140 (CAS 201140-0),O=CC=CC1=CC=CC=C1,60.4,454.1,-7.76,35.7,Non-Sensitizer
Benchmark_Compound_1141 (CAS 201141-1),O=CC=CC1=CC=CC=C1,80.1,167.0,-7.98,37.9,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_1142 (CAS 201142-2),O=CC=CC1=CC=CC=C1,39.6,1174.9,-3.93,61.1,Non-Sensitizer
